ID,Name,First Shown Date,Last Shown Date,Estimated Audience,Image URLs,Video URLs,Cover Images
1751122877474866,L'OREAL (U.K.) LIMITED,2022-12-07 00:00:00,2022-12-29 00:00:00,700K-800K,https://p19-csp-adlib-site-sign-sg.ibyteimg.com/v0201/1ef0982de4384da18c2f14733ccedd22~tplv-xg5h56rn01-webp-75:540:960.webp?x-expires=1722674718&x-signature=Uk7Zr9gvot95WuXJplnVVH6YcM4%3D,https://v16m.tiktokcdn.com/6d188f2b3c418ef6bc827cd958d9538a/64cd0f17/video/tos/alisg/tos-alisg-v-0000/7c280de3b59240269652cc127a5fcd54/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=4804&bt=2402&cs=0&ds=3&ft=d2A~l-Inz7Tjp2~fiyq8Z&mime_type=video_mp4&qs=0&rc=OGY8ZDY0PGlpZ2g4NDVlOEBpM3RubmU6ZmU2OzMzODYzNEAwNjYtMTQwNS0xLjVgMC82YSMwNWZscjRvc19gLS1kMC1zcw%3D%3D&l=20230804084516AFD0C55B9773183612F3&btag=e00088000&cc=3,https://p19-csp-adlib-site-sign-sg.ibyteimg.com/v0201/1ef0982de4384da18c2f14733ccedd22~tplv-xg5h56rn01-webp-75:540:960.webp?x-expires=1722674718&x-signature=Uk7Zr9gvot95WuXJplnVVH6YcM4%3D
1757559759904817,Hype Puffer Case,2023-02-11 00:00:00,2023-02-28 00:00:00,600K-700K,,,
1751125834182657,L'OREAL (U.K.) LIMITED,2022-12-08 00:00:00,2022-12-29 00:00:00,600K-700K,https://p16-csp-adlib-site-sign-sg.ibyteimg.com/v0201/1ef0982de4384da18c2f14733ccedd22~tplv-xg5h56rn01-webp-75:540:960.webp?x-expires=1722674718&x-signature=oNS2F%2FXualZrW13uFKDpB%2BgVD6M%3D,https://v16m.tiktokcdn.com/6d188f2b3c418ef6bc827cd958d9538a/64cd0f17/video/tos/alisg/tos-alisg-v-0000/7c280de3b59240269652cc127a5fcd54/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=4804&bt=2402&cs=0&ds=3&ft=d2A~l-Inz7Tjp2~fiyq8Z&mime_type=video_mp4&qs=0&rc=OGY8ZDY0PGlpZ2g4NDVlOEBpM3RubmU6ZmU2OzMzODYzNEAwNjYtMTQwNS0xLjVgMC82YSMwNWZscjRvc19gLS1kMC1zcw%3D%3D&l=20230804084516AFD0C55B9773183612F3&btag=e00088000&cc=3,https://p16-csp-adlib-site-sign-sg.ibyteimg.com/v0201/1ef0982de4384da18c2f14733ccedd22~tplv-xg5h56rn01-webp-75:540:960.webp?x-expires=1722674718&x-signature=oNS2F%2FXualZrW13uFKDpB%2BgVD6M%3D
1755903235483682,Hype Puffer Case,2023-01-24 00:00:00,2023-02-04 00:00:00,500K-600K,,https://v16m.tiktokcdn.com/606786d8e3aa42a048c108195ef01bbf/64cd0f07/video/tos/maliva/tos-maliva-ve-0068c799-us/b9a9f29167b946b98df5b05346e1cdca/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=3148&bt=1574&cs=0&ds=6&ft=d2A~l-Inz7Tjp2~fiyq8Z&mime_type=video_mp4&qs=0&rc=OTZkMzg5aTUzaDY5Z2c4PEBpamYzbWc6Zmp2aTMzZzczNEAzYTExL2AwNi0xMF41Yy0vYSNecWBycjRfLTRgLS1kMS9zcw%3D%3D&l=20230804084516AFD0C55B9773183612F3&btag=e00088000&cc=3,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068c799-us/a23ae14d82fb4afc9b45469f664576f2_1674559613~tplv-noop.image?x-expires=1691160327&x-signature=3gwFyORKK7COi45uQyB02MHLzzQ%3D
1757564936305682,Hype Puffer Case,2023-02-11 00:00:00,2023-02-20 00:00:00,500K-600K,,,
1760986514243634,WE ARE TALA LIMITED,2023-03-21 00:00:00,2023-05-12 00:00:00,500K-600K,https://p16-csp-adlib-site-sign-sg.ibyteimg.com/v0201/osIzkCBLoQeFDB96DMkBLnRAhUQUIlVEKgtfNW~tplv-xg5h56rn01-webp-75:540:960.webp?x-expires=1722674718&x-signature=gqslSxmwVvIAAYc5U9kEmT%2FgZFc%3D,https://v16m.tiktokcdn.com/2ed86740f741ce0a5cddf9d490e86829/64cd0f06/video/tos/alisg/tos-alisg-v-0000/ogUzkCQLLQeFDB96uikBAnnAhQQUIlBIKgtfNW/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=3044&bt=1522&cs=0&ds=3&ft=d2A~l-Inz7Tjp2~fiyq8Z&mime_type=video_mp4&qs=0&rc=NTM7NGZlZGRkODM5ZTgzO0Bpajg1NWU6Zmk4ajMzODYzNEBgNS8yY2FeNTYxYzJfMy0yYSNyY2ZxcjRfZjFgLS1kMC1zcw%3D%3D&l=20230804084516AFD0C55B9773183612F3&btag=e00088000&cc=3,https://p16-csp-adlib-site-sign-sg.ibyteimg.com/v0201/osIzkCBLoQeFDB96DMkBLnRAhUQUIlVEKgtfNW~tplv-xg5h56rn01-webp-75:540:960.webp?x-expires=1722674718&x-signature=gqslSxmwVvIAAYc5U9kEmT%2FgZFc%3D
1755640977997825,Hype Puffer Case,2023-01-21 00:00:00,2023-02-02 00:00:00,500K-600K,,https://v16m.tiktokcdn.com/b4d0b70f6b436158a175b860bf6abfb7/64cd0f05/video/tos/maliva/tos-maliva-ve-0068c799-us/d5f5c71f8bcd41bd8f8a02cccb94da17/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=3262&bt=1631&cs=0&ds=6&ft=d2A~l-Inz7Tjp2~fiyq8Z&mime_type=video_mp4&qs=0&rc=NWlkZGU4O2k0MzM3aWg0ZEBpajw0czY6ZmR0aTMzZzczNEAvMV8tY2BfXy8xNTRfMjRgYSNqMC0ycjQwZjFgLS1kMS9zcw%3D%3D&l=20230804084516AFD0C55B9773183612F3&btag=e00088000&cc=3,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068c799-us/21763d85bf694698ae934e526a7ac23f_1674160446~tplv-noop.image?x-expires=1691160325&x-signature=3VgwcbJeP6qVPrIFvACfK3DUaIA%3D
1752914298414097,"Hypemasters, Inc.",2022-12-22 00:00:00,2023-01-05 00:00:00,400K-500K,https://p16-csp-adlib-site-sign-sg.ibyteimg.com/v0201/oIcbkABdioDD9hIxm0ftAAw8XQ0lDEEUm0zCBT~tplv-xg5h56rn01-webp-75:540:960.webp?x-expires=1722674718&x-signature=pJqqj%2FDH51qWwBVU%2Bekswe7Dimo%3D,https://v16m.tiktokcdn.com/69895d3db599140bf2aa4073e4f64d0e/64cd0f16/video/tos/alisg/tos-alisg-v-0000/ogGA9DxcQQmXhTUBfiAO3IUzkwHo0oBAEztwcC/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=4524&bt=2262&cs=0&ds=3&ft=d2A~l-Inz7Tjp2~fiyq8Z&mime_type=video_mp4&qs=0&rc=aGllaTU2PGVnZDc3OGhkOUBpM3FuOjU6Zjw3aDMzODYzNEBeMmBjLmEzNl8xYWBfLzUxYSMvLzRecjRvMGZgLS1kMC1zcw%3D%3D&l=20230804084516AFD0C55B9773183612F3&btag=e00088000&cc=3,https://p16-csp-adlib-site-sign-sg.ibyteimg.com/v0201/oIcbkABdioDD9hIxm0ftAAw8XQ0lDEEUm0zCBT~tplv-xg5h56rn01-webp-75:540:960.webp?x-expires=1722674718&x-signature=pJqqj%2FDH51qWwBVU%2Bekswe7Dimo%3D
1762350732120097,"Sculpted By Aimee Connolly Cosmetics Ltd,",2023-04-05 00:00:00,2023-07-03 00:00:00,400K-500K,https://p19-csp-adlib-site-sign-sg.ibyteimg.com/v0201/oYbtSDfFAdeQtC0I4bgeDZakIC3blB5IjAn2Gp~tplv-xg5h56rn01-webp-75:540:960.webp?x-expires=1722674718&x-signature=ibJTcxe8hQhpUE%2BpI6f52pXcAPI%3D,https://v16m.tiktokcdn.com/571d17e16aa4519a2bb5f788ef0aeb6b/64cd0f0b/video/tos/alisg/tos-alisg-v-0000/oMxhi2t1I0ODQNSBWIRztB8NsfAfQrNgCyEkE7/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=3346&bt=1673&cs=0&ds=3&ft=d2A~l-Inz7Tjp2~fiyq8Z&mime_type=video_mp4&qs=0&rc=ZjNpaTw8ODg2PDg5NGRmZEBpM3BkaGg6ZmlnazMzODYzNEBeNDMvYzNgNjYxMTBgMS82YSNybnBucjRvajFgLS1kMC1zcw%3D%3D&l=20230804084516AFD0C55B9773183612F3&btag=e00088000&cc=3,https://p19-csp-adlib-site-sign-sg.ibyteimg.com/v0201/oYbtSDfFAdeQtC0I4bgeDZakIC3blB5IjAn2Gp~tplv-xg5h56rn01-webp-75:540:960.webp?x-expires=1722674718&x-signature=ibJTcxe8hQhpUE%2BpI6f52pXcAPI%3D
1756558405857377,TECHSTYLE FASHION GROUP LTD,2023-02-03 00:00:00,2023-02-12 00:00:00,400K-500K,https://p19-csp-adlib-site-sign-sg.ibyteimg.com/v0201/osnZeQX9QBB2oIDYabNSDJPBWlE4Ugz9DSAnej~tplv-xg5h56rn01-webp-75:540:960.webp?x-expires=1722674718&x-signature=5KXt0upqrWtTNMif6dSKqz2y60k%3D,https://v16m.tiktokcdn.com/8bf3aca71205c9f6950d67d3423932f6/64cd0f05/video/tos/alisg/tos-alisg-v-0000/oUWBl1nyeFz92kyfYNc4ABBDSPoQoQgbgjU9MD/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=5874&bt=2937&cs=0&ds=3&ft=d2A~l-Inz7Tjp2~fiyq8Z&mime_type=video_mp4&qs=0&rc=MzU2Zmc3NWU0PDxpNTc5NUBpM3NqcTo6ZnluaTMzODYzNEAzMzIyXmE2X2AxXl5hY2IzYSNyLmpocjRfZmBgLS1kMC1zcw%3D%3D&l=20230804084516AFD0C55B9773183612F3&btag=e00088000&cc=3,https://p19-csp-adlib-site-sign-sg.ibyteimg.com/v0201/osnZeQX9QBB2oIDYabNSDJPBWlE4Ugz9DSAnej~tplv-xg5h56rn01-webp-75:540:960.webp?x-expires=1722674718&x-signature=5KXt0upqrWtTNMif6dSKqz2y60k%3D
